1,Precious Achiuwa\achiupr01,PF,21,MIA,40,2,13.1,2.3,3.9,.577,0.0,0.0,,2.3,3.9,.577,.577,1.1,2.1,.518,1.3,2.5,3.8,0.5,0.4,0.5,0.9,1.6,5.6
2,Jaylen Adams\adamsja01,PG,24,MIL,7,0,2.6,0.1,1.1,.125,0.0,0.3,.000,0.1,0.9,.167,.125,0.0,0.0,,0.0,0.4,0.4,0.3,0.0,0.0,0.0,0.1,0.3
3,Steven Adams\adamsst01,C,27,NOP,38,38,27.6,3.5,5.6,.627,0.0,0.1,.000,3.5,5.5,.633,.627,1.1,2.3,.471,4.0,5.1,9.1,2.0,0.9,0.5,1.5,2.0,8.1
4,Bam Adebayo\adebaba01,C,23,MIA,36,36,33.6,7.1,12.6,.560,0.1,0.2,.333,7.0,12.5,.563,.563,4.8,5.6,.842,2.3,7.2,9.5,5.4,0.9,1.0,2.9,2.4,19.0
5,LaMarcus Aldridge\aldrila01,C,35,SAS,21,18,25.9,5.5,11.8,.464,1.3,3.6,.360,4.2,8.2,.509,.518,1.5,1.8,.838,0.8,3.7,4.5,1.7,0.4,0.9,1.0,1.7,13.7
6,Ty-Shon Alexander\alexaty01,SG,22,PHO,3,0,2.7,0.0,1.0,.000,0.0,0.3,.000,0.0,0.7,.000,.000,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.0
7,Nickeil Alexander-Walker\alexani01,SG,22,NOP,33,3,17.9,3.2,7.9,.408,1.2,3.8,.323,2.0,4.1,.485,.485,0.9,1.2,.816,0.2,2.5,2.6,1.9,1.0,0.4,1.2,1.6,8.6
8,Grayson Allen\allengr01,SG,25,MEM,26,14,24.0,3.1,7.4,.415,2.0,4.9,.406,1.1,2.5,.431,.549,1.5,1.7,.909,0.3,2.6,2.9,2.2,1.0,0.1,1.0,1.3,9.7
9,Jarrett Allen\allenja01,C,22,TOT,40,22,28.3,4.7,7.2,.651,0.1,0.3,.400,4.6,7.0,.659,.657,3.4,4.8,.711,3.1,6.7,9.8,1.7,0.4,1.7,1.5,1.6,12.9
9,Jarrett Allen\allenja01,C,22,BRK,12,5,26.7,3.7,5.4,.677,0.0,0.0,,3.7,5.4,.677,.677,3.8,5.1,.754,3.2,7.3,10.4,1.7,0.6,1.6,1.8,1.8,11.2
9,Jarrett Allen\allenja01,C,22,CLE,28,17,29.0,5.1,8.0,.643,0.1,0.4,.400,5.0,7.6,.654,.652,3.2,4.6,.690,3.1,6.5,9.5,1.7,0.4,1.8,1.3,1.5,13.6
10,Al-Farouq Aminu\aminual01,PF,30,ORL,14,11,20.1,1.6,4.6,.359,0.5,1.9,.269,1.1,2.7,.421,.414,0.9,1.0,.857,1.0,3.7,4.7,1.4,0.9,0.4,1.3,1.4,4.6
11,Kyle Anderson\anderky01,PF,27,MEM,36,36,27.1,4.7,9.8,.476,1.4,3.8,.365,3.3,6.0,.546,.547,2.0,2.6,.768,0.8,5.0,5.8,3.3,1.1,0.6,1.4,1.7,12.8
